Date,Open,High,Low,Close,Adj Close,Volume
1/18/2016,1180,1186.800049,1111.75,1131.800049,1072.935547,1168284
1/19/2016,1143.849976,1217.400024,1121.449951,1206.75,1143.987427,1803043
1/20/2016,1182.849976,1215,1150,1202.099976,1139.579224,1715446
1/21/2016,1225.150024,1239,1185,1197.849976,1135.550293,1408475
1/22/2016,1175,1175,958.299988,968.299988,917.939087,10529075
1/25/2016,939,952.450012,886.799988,902.700012,855.750977,6958344
1/27/2016,910,961.700012,910,936.150024,887.461243,3802299
1/28/2016,938,947,885.099976,903.349976,856.367126,2430726
1/29/2016,906,913.75,857.849976,874.700012,829.207214,2256173
2/1/2016,905,920,872,882.049988,836.174927,1738121
2/2/2016,882.5,887.799988,832.650024,845,801.05188,2513511
2/3/2016,838,868.799988,821,837.950012,794.368591,2373514
2/4/2016,841.900024,851.900024,781.099976,805.349976,763.46405,2734418
2/5/2016,808,844,783.299988,836.950012,793.420593,2379290
2/8/2016,854,854.799988,811,824.349976,781.47583,1592321
2/9/2016,810,821,785,788.150024,747.158691,1129062
2/10/2016,789,806.5,750,771.450012,731.327209,1875096
2/11/2016,770,775.049988,698.349976,719.700012,682.268677,2840007
2/12/2016,728.5,788.700012,714,779.650024,739.100769,2346261
2/15/2016,798.849976,849.900024,791,839.049988,795.411316,1907183
2/16/2016,847,857,817.099976,840.849976,797.117737,1353259
2/17/2016,852,860,829,839.799988,796.122375,1430128
2/18/2016,845,860,835.099976,849.150024,804.986084,775528
2/19/2016,851,857.349976,838.25,841.25,797.496887,577128
2/22/2016,838,844,815.299988,819.900024,777.257324,549452
2/23/2016,817,828.700012,797.200012,810.049988,767.919617,669798
2/24/2016,809.950012,825,800,808.450012,766.402893,753973
2/25/2016,805.099976,812.700012,780,791.099976,749.9552,607783
2/26/2016,799.900024,844.5,775.900024,833.299988,789.960388,1149764
2/29/2016,850.049988,854,781.299988,812.25,770.005188,1574628
3/1/2016,803.900024,838.900024,800,825.700012,782.755615,1166246
3/2/2016,841.5,883.650024,827,869.75,824.514648,1154361
3/3/2016,873,875,842.25,851.75,807.450867,598767
3/4/2016,852,881.75,835.099976,872.849976,827.453369,801090
3/8/2016,874.650024,874.650024,851.099976,859.5,814.797791,645792
3/9/2016,850,857.599976,802.400024,812.799988,770.526611,1287378
